Ip,Ton,Toff,Vs,MRR,SR,Surrogate
22,112,60,231,8.286826133728027,2.328890562057495,XGBoost
20,111,60,230,8.007515907287598,2.0144364833831787,XGBoost
20,113,60,233,8.108182907104492,2.1279428005218506,XGBoost
28,114,60,232,8.654115676879883,2.7454636096954346,XGBoost
22,110,60,233,8.193243980407715,2.2152388095855713,XGBoost
30,114,60,236,8.689796447753906,2.7629878520965576,XGBoost
30,113,60,235,8.63256549835205,2.701273202896118,XGBoost
30,115,60,234,8.694987297058105,2.7979044914245605,XGBoost
24,114,60,232,8.47651195526123,2.5504865646362305,XGBoost
23,110,60,237,8.2744722366333,2.305459499359131,XGBoost
30,111,60,232,8.522693634033203,2.5962984561920166,XGBoost
23,111,60,236,8.311634063720703,2.3497703075408936,XGBoost
25,110,60,235,8.388175964355469,2.450380563735962,XGBoost
30,110,60,236,8.506720542907715,2.5741617679595947,XGBoost
30,111,60,237,8.541472434997559,2.6131033897399902,XGBoost
30,110,60,233,8.501708984375,2.559887647628784,XGBoost
27,113,60,231,8.577691078186035,2.666938066482544,XGBoost
27,110,60,231,8.450324058532715,2.51652455329895,XGBoost
25,110,60,237,8.396677017211914,2.4605729579925537,XGBoost
30,115,60,237,8.696273803710938,2.8113510608673096,XGBoost
22,112,60,235,8.294306755065918,2.3350465297698975,XGBoost
22,114,60,237,8.366598129272461,2.4169793128967285,XGBoost
22,110,60,228,8.17361068725586,2.2129287719726562,XGBoost
30,114,50,233,8.78717041015625,2.9413464069366455,XGBoost
28,110,60,233,8.482250213623047,2.5532760620117188,XGBoost
21,110,60,236,8.070231437683105,2.099801778793335,XGBoost
22,110,60,231,8.187119483947754,2.214207172393799,XGBoost
20,114,60,236,8.156713485717773,2.1674652099609375,XGBoost
30,114,50,232,8.781744003295898,2.9413177967071533,XGBoost
27,110,60,234,8.46294116973877,2.535393238067627,XGBoost
21,110,60,235,8.067115783691406,2.095533609390259,XGBoost
30,113,60,236,8.632726669311523,2.7118616104125977,XGBoost
30,117,60,234,8.701940536499023,2.8257572650909424,XGBoost
20,115,60,236,8.16920280456543,2.2073495388031006,XGBoost
26,114,60,236,8.604516983032227,2.6848626136779785,XGBoost
26,110,60,236,8.428096771240234,2.499155044555664,XGBoost
30,113,50,238,8.762181282043457,2.907386064529419,XGBoost
27,114,60,232,8.637436866760254,2.7183852195739746,XGBoost
20,113,60,236,8.12340259552002,2.141883134841919,XGBoost
23,111,60,238,8.31637191772461,2.359053134918213,XGBoost
30,117,60,236,8.702729225158691,2.8273398876190186,XGBoost
20,114,60,235,8.154226303100586,2.165717363357544,XGBoost
30,115,60,236,8.695773124694824,2.800584554672241,XGBoost
22,110,60,230,8.178747177124023,2.2138760089874268,XGBoost
30,113,60,232,8.620631217956543,2.694279670715332,XGBoost
27,112,60,235,8.559167861938477,2.655787706375122,XGBoost
24,110,60,232,8.321395874023438,2.3701038360595703,XGBoost
27,113,60,233,8.589910507202148,2.6759250164031982,XGBoost
20,110,60,239,7.99321985244751,2.0031397342681885,XGBoost
30,111,60,236,8.539823532104492,2.6078882217407227,XGBoost
25,110,60,232,8.378096580505371,2.431746006011963,XGBoost
30,113,60,231,8.617362022399902,2.6931326389312744,XGBoost
30,110,60,235,8.503443717956543,2.5703377723693848,XGBoost
20,113,59,233,8.081348419189453,2.118560552597046,XGBoost
20,111,60,228,8.004522323608398,2.0137531757354736,XGBoost
20,114,60,237,8.15778636932373,2.180387020111084,XGBoost
27,114,50,238,8.763489723205566,2.91841459274292,XGBoost
20,111,60,236,8.031124114990234,2.032595157623291,XGBoost
30,110,60,232,8.49543571472168,2.5597779750823975,XGBoost
20,114,60,239,8.1583890914917,2.1910250186920166,XGBoost
27,113,60,232,8.585022926330566,2.6702053546905518,XGBoost
30,114,60,233,8.68191146850586,2.7594995498657227,XGBoost
28,111,60,233,8.516581535339355,2.5933682918548584,XGBoost
26,114,60,233,8.598462104797363,2.6824934482574463,XGBoost
24,113,60,232,8.442448616027832,2.509920835494995,XGBoost
27,112,60,237,8.559685707092285,2.6635849475860596,XGBoost
26,110,60,231,8.414459228515625,2.4827845096588135,XGBoost
24,110,60,231,8.319742202758789,2.369243860244751,XGBoost
27,110,60,230,8.44505500793457,2.516193389892578,XGBoost
25,111,60,232,8.403664588928223,2.473651647567749,XGBoost
28,114,60,233,8.66179370880127,2.7511441707611084,XGBoost
30,114,60,232,8.67362117767334,2.753818988800049,XGBoost
25,113,60,235,8.51202392578125,2.586669921875,XGBoost
22,114,60,234,8.363142967224121,2.3991711139678955,XGBoost
23,110,60,234,8.269288063049316,2.3032286167144775,XGBoost
20,113,59,232,8.078673362731934,2.1123874187469482,XGBoost
21,110,60,239,8.074761390686035,2.103754758834839,XGBoost
20,110,60,238,7.9915008544921875,2.000149965286255,XGBoost
30,110,60,237,8.510575294494629,2.579993963241577,XGBoost
30,113,50,233,8.758164405822754,2.9070823192596436,XGBoost
20,110,59,231,7.918437480926514,1.9675536155700684,XGBoost
21,110,60,237,8.076669692993164,2.1041486263275146,XGBoost
26,110,60,232,8.417709350585938,2.4842796325683594,XGBoost
30,117,50,238,8.792862892150879,3.00301194190979,ANN
20,110,58,220,7.718944072723389,1.9613734483718872,ANN
20,114,60,234,8.166603088378906,2.183791160583496,ANN
27,110,60,230,8.44240951538086,2.531125783920288,ANN
30,112,50,230,8.68797779083252,2.8541927337646484,ANN
30,111,60,237,8.569604873657227,2.6518571376800537,ANN
